package name,version,repo URL,last published
@atlaskit/smart-card,44.14.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:53.853Z
@atlaskit/link-datasource,5.4.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:25.214Z
@atlaskit/profilecard,25.7.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:24.413Z
@atlaskit/give-kudos,5.9.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:23.773Z
@atlaskit/media-card,80.5.6,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:22.736Z
@atlaskit/media-ui,29.2.5,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:21.616Z
@atlaskit/jql-editor,6.4.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:20.528Z
@atlaskit/link-create,5.1.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:19.950Z
@atlaskit/media-viewer,53.2.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:19.545Z
@atlaskit/media-filmstrip,51.3.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:17.595Z
@atlaskit/linking-types,14.4.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:16.367Z
@atlaskit/renderer,131.1.5,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:15.989Z
@atlaskit/editor-plugin-table,22.4.14,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:12.772Z
@atlaskit/logo,20.1.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:12.768Z
@atlaskit/editor-plugins,13.1.74,https://bitbucket.org/atlassian/atlassian-frontend,2026-05-22T05:30:12.645Z
@atlaskit/reactions,34.2.5,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:12.259Z
@atlaskit/emoji,70.10.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:12.248Z
@atlaskit/modal-dialog,15.1.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:11.414Z
@atlaskit/editor-plugin-breakout,10.2.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:09.794Z
@atlaskit/share,7.1.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:09.317Z
@atlaskit/theme,24.0.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:08.634Z
@atlaskit/contextual-survey,6.2.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:07.459Z
@atlaskit/editor-plugin-synced-block,8.3.15,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:06.514Z
@atlaskit/editor-plugin-block-controls,11.4.7,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-22T05:30:06.412Z
@atlaskit/editor-plugin-selection-marker,10.2.3,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-22T05:30:06.040Z
@atlaskit/radio,8.6.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:05.974Z
@atlaskit/tooltip,22.2.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:05.694Z
@atlaskit/editor-plugin-mentions,12.2.6,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:05.597Z
@atlaskit/textarea,8.3.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:04.747Z
@atlaskit/button,23.11.7,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:04.620Z
@atlaskit/range,10.1.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:03.855Z
@atlaskit/select,21.12.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:03.681Z
@atlaskit/flag,17.12.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:03.563Z
@atlaskit/portal,5.5.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:03.258Z
@atlaskit/inline-message,15.6.13,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:03.037Z
@atlaskit/dropdown-menu,16.9.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:02.868Z
@atlaskit/drawer,12.1.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:01.343Z
@atlaskit/blanket,15.0.33,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:30:00.736Z
@atlaskit/panel,1.2.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:29:58.470Z
@atlaskit/mobile-header,7.0.38,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:29:54.117Z
@atlaskit/docs,11.8.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T05:29:53.988Z
@atlaskit/editor-common,114.41.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T03:22:45.770Z
@atlaskit/react-ufo,6.0.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T03:22:40.342Z
@atlaskit/adf-schema,52.13.1,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-22T03:22:27.612Z
@atlaskit/editor-plugin-type-ahead,10.2.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T03:22:23.275Z
@atlaskit/tmp-editor-statsig,82.3.0,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-22T03:22:19.974Z
@atlaskit/editor-plugin-panel,12.2.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T03:22:14.063Z
@atlaskit/editor-plugin-local-id,8.3.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-22T03:22:13.384Z
@atlaskit/eslint-plugin-design-system,14.4.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T22:53:30.191Z
@atlaskit/teams-app-internal-analytics,1.31.0,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-21T22:53:19.001Z
@atlassian/mcp-compressor,0.23.0,https://github.com/atlassian-labs/mcp-compressor,2026-05-21T21:52:20.310Z
