# ─────────────────────────────────────────────────────────────────
# SecScan — Sample Import CSV
#
# Unique key per row:
#   git repos  → the clone URL itself
#   npm        → npm:{name}  or  npm:{name}@{version}
#   pip        → pip:{name}  or  pip:{name}@{version}
#
# Each (type, name, version) combination is a separate scannable artifact.
# Uploading the same combination twice is a no-op (de-duplicated).
# ─────────────────────────────────────────────────────────────────

# Git repositories — url[,public|private]
https://github.com/expressjs/express
https://github.com/pallets/flask
https://github.com/myorg/internal-service,private
https://bitbucket.org/myorg/legacy-app,private
https://internal.corp.com/team/microservice,private

# npm packages — name,npm[,version]
# Without version → scans latest, key = npm:express
# With version    → scans that release, key = npm:express@4.17.21  (separate row from latest)
express,npm
express,npm,4.17.21
lodash,npm,4.17.21
axios,npm,1.6.8
@babel/core,npm

# pip packages — name,pip[,version]
requests,pip
requests,pip,2.28.0
django,pip
django,pip,4.2.0
flask,pip,3.0.0
