rank,ecosystem,name,version,repo_url,homepage,license,downloads,dependents,stars
1,npm,typescript,6.0.3,https://github.com/microsoft/TypeScript,https://www.typescriptlang.org/,Apache-2.0,,1373352,109000
2,npm,eslint,10.4.1,https://github.com/eslint/eslint,https://eslint.org,MIT,,882811,27256
3,npm,@types/node,25.9.1,https://github.com/DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node,MIT,,836969,51249
4,npm,prettier,3.8.3,https://github.com/prettier/prettier,https://prettier.io,MIT,,456425,51867
5,npm,react,0.0.0-experimental-f0dfee38-20260529,https://github.com/facebook/react,https://react.dev/,MIT,,445947,245312
1,pypi,numpy,2.4.6,https://github.com/numpy/numpy,https://numpy.org,Other,,120179,32057
2,pypi,requests,2.34.2,https://github.com/psf/requests,https://requests.readthedocs.io/en/latest/,Apache-2.0,,112450,53998
3,pypi,pandas,3.0.3,https://github.com/pandas-dev/pandas,https://pandas.pydata.org,Other,,79729,48871
4,pypi,pytest,9.0.3,https://github.com/pytest-dev/pytest,https://docs.pytest.org/en/latest/,MIT,,97471,13868
5,pypi,pydantic,2.14.0a1,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,,56930,27832
1,maven,org.jetbrains.kotlin:kotlin-stdlib,2.3.21-RC2,https://github.com/JetBrains/kotlin,https://kotlinlang.org/,Apache-2.0,,117064,52778
2,maven,junit:junit,4.13.2,https://github.com/junit-team/junit4,http://junit.org,EPL-1.0,,91526,8524
3,maven,org.scala-lang:scala-library,3.8.4-RC1,https://github.com/scala/scala3,https://scala-lang.org/,Apache-2.0,,75269,6255
4,maven,ch.qos.logback:logback-classic,1.5.32,https://github.com/qos-ch/logback,http://logback.qos.ch,EPL-2.0,,30034,3211
5,maven,com.google.guava:guava,33.6.0-jre,https://github.com/google/guava,https://github.com/google/guava,Apache-2.0,,29431,51498
1,go,golang.org/x/sys,v0.45.1-0.20260527141443-d58dcfa8a745,https://cs.opensource.google/go/x/sys,https://cs.opensource.google/go/x/sys,BSD-3-Clause,,236526,1343
2,go,golang.org/x/net,v0.55.1-0.20260529164614-db078759488c,https://cs.opensource.google/go/x/net,https://cs.opensource.google/go/x/net,BSD-3-Clause,,179882,3008
3,go,golang.org/x/text,v0.37.0,https://cs.opensource.google/go/x/text,https://cs.opensource.google/go/x/text,BSD-3-Clause,,180663,797
4,go,github.com/stretchr/testify,v1.2.3,https://github.com/stretchr/testify,https://github.com/stretchr/testify,MIT,,157602,26001
5,go,golang.org/x/crypto,v0.52.1-0.20260527164009-5adb68b3e689,https://cs.opensource.google/go/x/crypto,https://cs.opensource.google/go/x/crypto,BSD-3-Clause,,152918,3319
1,php,phpunit/phpunit,13.1.13,https://github.com/sebastianbergmann/phpunit,https://phpunit.de/,BSD-3-Clause,,139254,20036
2,php,illuminate/support,v13.1.1,https://github.com/illuminate/support,https://laravel.com,MIT,,36138,583
3,php,guzzlehttp/guzzle,7.10.5,https://github.com/guzzle/guzzle,,MIT,,30823,23441
4,php,orchestra/testbench,v10.11.0,https://github.com/orchestral/testbench,https://packages.tools/testbench/,MIT,,27464,2221
5,php,squizlabs/php_codesniffer,4.0.1,https://github.com/PHPCSStandards/PHP_CodeSniffer,https://github.com/PHPCSStandards/PHP_CodeSniffer,BSD-3-Clause,,26355,1385
1,ruby,rake,13.4.2,https://github.com/ruby/rake,https://github.com/ruby/rake,MIT,,88117,2437
2,ruby,bundler,4.0.12,https://github.com/ruby/rubygems,https://bundler.io/,MIT,,75344,3928
3,ruby,rspec,4.0.0.beta1,https://github.com/rspec/rspec,https://rspec.info,MIT,,65076,89
4,ruby,pry,0.16.0,https://github.com/pry/pry,http://pry.github.io,MIT,,15776,6820
5,ruby,rails,8.1.3,https://github.com/rails/rails,https://rubyonrails.org,MIT,,15496,58321
1,rust,serde,1.0.228,https://github.com/serde-rs/serde,https://serde.rs,MIT,,60384,10504
2,rust,tokio,1.52.3,https://github.com/tokio-rs/tokio,https://tokio.rs,MIT,,57017,31923
3,rust,serde_json,1.0.149,https://github.com/serde-rs/json,,MIT,,49947,5514
4,rust,clap,4.6.1,https://github.com/clap-rs/clap,docs.rs/clap,MIT,,38133,16367
5,rust,anyhow,1.0.102,https://github.com/dtolnay/anyhow,,MIT,,33780,6431
